,Value
373,0.08196721311475409
374,0.25806451612903225
375,0.2542372881355932
376,0.13333333333333333
377,0.16161616161616163
378,0.25757575757575757
379,0.18796992481203006
380,0.23809523809523808
381,0.1016949152542373
382,0.23529411764705882
383,0.10884353741496598
384,0.2692307692307692
385,0.18055555555555555
386,0.15
387,0.1590909090909091
388,0.13043478260869565
389,0.2
390,0.09803921568627451
391,0.15
392,0.045454545454545456
393,0.32786885245901637
394,0.1875
395,0.02631578947368421
396,0.11538461538461539
397,0.16326530612244897
398,0.0
399,0.5
