,Value
110,0.31266960717736714
111,0.25109068210879787
112,0.1884749209974429
113,0.3266522886733648
114,0.2606978064403002
115,0.2654651149864746
116,0.2561980087161123
117,0.17088082120325956
118,0.2554468567507285
119,0.18674454841568983
120,0.29196480591843266
121,0.21967923998513583
122,0.3388528451824595
123,0.36691522501273927
124,0.04725546188728539
125,0.2567042873774967
126,0.5441980953310847
127,0.5015094258803772
128,0.5938252555634218
129,0.580300218138899
130,0.09847543730730493
131,0.5501992059629898
132,0.15662825780621187
133,0.49915580129642584
134,0.19692210719555478
135,0.26730105004192134
136,0.28299347067177033
137,0.33423277340233437
138,0.09433849880540333
139,0.3459952521267429
140,0.23725156555356688
141,0.2077169003394721
142,0.4170607467223603
143,0.40432069463551756
144,0.28959049746578364
145,0.059149716737679915
146,0.1471228629602854
147,0.30920327699366157
148,0.24579699208736583
149,0.11545226102532631
150,0.025402419014606634
151,0.3114201293283908
152,0.2446078140557391
153,0.23475100243434988
154,0.18139163411702985
155,0.21235358902730261
156,0.3964034610879031
157,0.10993390242347635
158,0.06498487703855133
159,0.3154584928951479
160,0.312653524024477
161,0.07741835673135776
162,0.21143474653275002
163,0.41578819413754625
164,0.26689474738859376
165,0.19507057665447267
166,0.1562195998670061
167,0.0958044029428126
168,0.13108356754513095
169,0.396303391681913
170,0.46991845117116526
171,0.2503743852765831
172,0.21385509771552907
173,0.12966979381790653
174,0.2702625546421751
175,0.19965788537862747
176,0.13554560762478912
177,0.04740391580217412
178,0.18690761437966918
179,0.08485345118367732
180,0.20296445259899887
181,0.5242949524609055
182,0.2484437446124228
183,0.26437820869894857
184,0.18105104676063472
185,0.26957473472545634
186,0.5600204626876586
187,0.3930451429854142
188,0.3300890845137147
189,0.2760232736888865
190,0.18797640053181142
191,0.11646993573583364
192,0.08160127657328517
193,0.2378457930944703
194,0.31456128007403067
195,0.05197341213276701
196,0.3166993000562785
197,0.327128399250993
198,0.21782641074573555
199,0.040308360436074164
200,0.5483699674511859
201,0.22405097565753382
202,0.1693386075486766
203,0.1777086113134896
204,0.052148916582421476
205,0.1797935352227365
206,0.25428050804976443
207,0.22714185324987096
208,0.5403768060491383
209,0.1528150853028912
210,0.26362886653009093
211,0.22357350864406025
212,0.2615344145541442
213,0.07072586125891592
214,0.30096845227176
215,0.5033833520714677
